"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Dlouhodobý hmotný majetek – neodpisovaný / Non-depreciable Long-term Tangible Assets","Dlouhodobý majetek / Long-term Assets","03","0","1","","Asset","CZK"
"Pozemky / Land","Dlouhodobý hmotný majetek – neodpisovaný / Non-depreciable Long-term Tangible Assets","031","03","0","Fixed Asset","Asset","CZK"
"Umělecká díla a sbírky / Artworks and Collections","Dlouhodobý hmotný majetek – neodpisovaný / Non-depreciable Long-term Tangible Assets","032","03","0","Fixed Asset","Asset","CZK"
"Nedokončený dlouhodobý nehmotný a hmotný majetek a pořizovaný dlouhodobý finanční majetek","Dlouhodobý majetek / Long-term Assets","04","0","1","","Asset","CZK"
"Nedokončený dlouhodobý nehmotný majetek / Incomplete Long-term Intangible Assets","Nedokončený dlouhodobý nehmotný a hmotný majetek a pořizovaný dlouhodobý finanční majetek","041","04","0","","Asset","CZK"
"Nedokončený dlouhodobý hmotný majetek / Incomplete Long-term Tangible Assets","Nedokončený dlouhodobý nehmotný a hmotný majetek a pořizovaný dlouhodobý finanční majetek","042","04","0","","Asset","CZK"
"Pořizovaný dlouhodobý finanční majetek / Acquisition of Long-term Financial Assets","Nedokončený dlouhodobý nehmotný a hmotný majetek a pořizovaný dlouhodobý finanční majetek","043","04","0","","Asset","CZK"
"Poskytnuté zálohy na dlouhodobý majetek / Advances for Long-term Assets","Dlouhodobý majetek / Long-term Assets","05","0","1","","Asset","CZK"
"Poskytnuté zálohy na dlouhodobý nehmotný majetek / Advances for Long-term Intangible Assets","Poskytnuté zálohy na dlouhodobý majetek / Advances for Long-term Assets","051","05","0","","Asset","CZK"
"Poskytnuté zálohy na dlouhodobý hmotný majetek / Advances for Long-term Tangible Assets","Poskytnuté zálohy na dlouhodobý majetek / Advances for Long-term Assets","052","05","0","","Asset","CZK"
"Poskytnuté zálohy na dlouhodobý finanční majetek / Advances for Long-term Financial Assets","Poskytnuté zálohy na dlouhodobý majetek / Advances for Long-term Assets","053","05","0","","Asset","CZK"
"Dlouhodobý finanční majetek / Long-term Financial Assets","Dlouhodobý majetek / Long-term Assets","06","0","1","","Asset","CZK"
"Podíly – ovládaná nebo ovládající osoba / Equity Investments – Controlled or Controlling Party","Dlouhodobý finanční majetek / Long-term Financial Assets","061","06","0","","Asset","CZK"
"Podíly – podstatný vliv / Equity Investments – Significant Influence","Dlouhodobý finanční majetek / Long-term Financial Assets","062","06","0","","Asset","CZK"
"Ostatní dlouhodobé cenné papíry a podíly / Other Long-term Securities and Equity Investments","Dlouhodobý finanční majetek / Long-term Financial Assets","063","06","0","","Asset","CZK"
"Dluhové cenné papíry držené do splatnosti / Held-to-Maturity Debt Securities","Dlouhodobý finanční majetek / Long-term Financial Assets","065","06","0","","Asset","CZK"
"Zápůjčky a úvěry – ovládaná nebo ovládající osoba / Loans Ctrl","Dlouhodobý finanční majetek / Long-term Financial Assets","066","06","0","","Asset","CZK"
"Ostatní zápůjčky a úvěry / Other Loans and Advances","Dlouhodobý finanční majetek / Long-term Financial Assets","067","06","0","","Asset","CZK"
"Ostatní dlouhodobý finanční majetek / Other Long-term Financial Assets","Dlouhodobý finanční majetek / Long-term Financial Assets","069","06","0","","Asset","CZK"
"Oprávky k dlouhodobému nehmotnému majetku / Accumulated Depreciation on Intangible Long-term Assets","Dlouhodobý majetek / Long-term Assets","07","0","1","","Asset","CZK"
"Oprávky ke zřizovacím výdajům / Accumulated Depreciation on Start-up Costs","Oprávky k dlouhodobému nehmotnému majetku / Accumulated Depreciation on Intangible Long-term Assets","071","07","0","Accumulated Depreciation","Asset","CZK"
"Oprávky k nehmotným výsledkům výzkumu a vývoje / Depreciation R&D Intangibles","Oprávky k dlouhodobému nehmotnému majetku / Accumulated Depreciation on Intangible Long-term Assets","072","07","0","Accumulated Depreciation","Asset","CZK"
"Oprávky k softwaru / Accumulated Depreciation on Software","Oprávky k dlouhodobému nehmotnému majetku / Accumulated Depreciation on Intangible Long-term Assets","073","07","0","Accumulated Depreciation","Asset","CZK"
"Oprávky k ostatním ocenitelným právům / Accumulated Depreciation on Other Valuable Rights","Oprávky k dlouhodobému nehmotnému majetku / Accumulated Depreciation on Intangible Long-term Assets","074","07","0","Accumulated Depreciation","Asset","CZK"
"Oprávky ke goodwillu / Accumulated Depreciation on Goodwill","Oprávky k dlouhodobému nehmotnému majetku / Accumulated Depreciation on Intangible Long-term Assets","075","07","0","Accumulated Depreciation","Asset","CZK"
"Oprávky k ostatnímu dlouhodobému nehmotnému majetku / Depreciation Other Intangibles","Oprávky k dlouhodobému nehmotnému majetku / Accumulated Depreciation on Intangible Long-term Assets","079","07","0","Accumulated Depreciation","Asset","CZK"
"Oprávky k dlouhodobému hmotnému majetku / Accumulated Depreciation on Tangible Long-term Assets","Dlouhodobý majetek / Long-term Assets","08","0","1","","Asset","CZK"
"Oprávky ke stavbám / Accumulated Depreciation on Construction","Oprávky k dlouhodobému hmotnému majetku / Accumulated Depreciation on Tangible Long-term Assets","081","08","0","Accumulated Depreciation","Asset","CZK"
"Oprávky k hmotným movitým věcem a jejich souborům / AccDepTangMovProp","Oprávky k dlouhodobému hmotnému majetku / Accumulated Depreciation on Tangible Long-term Assets","082","08","0","Accumulated Depreciation","Asset","CZK"
"Oprávky k pěstitelským celkům trvalých porostů / AccDepPlantUnits","Oprávky k dlouhodobému hmotnému majetku / Accumulated Depreciation on Tangible Long-term Assets","085","08","0","Accumulated Depreciation","Asset","CZK"
"Oprávky k dospělým zvířatům a jejich skupinám / AccDepAdultAnim","Oprávky k dlouhodobému hmotnému majetku / Accumulated Depreciation on Tangible Long-term Assets","086","08","0","Accumulated Depreciation","Asset","CZK"
"Oprávky k ostatnímu dlouhodobému hmotnému majetku / AccDepOtherLTAssets","Oprávky k dlouhodobému hmotnému majetku / Accumulated Depreciation on Tangible Long-term Assets","089","08","0","Accumulated Depreciation","Asset","CZK"
"Opravné položky k dlouhodobému majetku / Provisions for Impairment of Long-term Assets","Dlouhodobý majetek / Long-term Assets","09","0","1","","Asset","CZK"
"Opravná položka k dlouhodobému nehmotnému majetku / ProvImpLTIntang","Opravné položky k dlouhodobému majetku / Provisions for Impairment of Long-term Assets","091","09","0","","Asset","CZK"
"Opravná položka k dlouhodobému hmotnému majetku / ProvImpLTTang","Opravné položky k dlouhodobému majetku / Provisions for Impairment of Long-term Assets","092","09","0","","Asset","CZK"
"Opravná položka k dlouhodobému nedokončenému nehmotnému majetku","Opravné položky k dlouhodobému majetku / Provisions for Impairment of Long-term Assets","093","09","0","","Asset","CZK"
"Opravná položka k dlouhodobému nedokončenému hmotnému majetku / Prov Long-term Incomp Tang Assets","Opravné položky k dlouhodobému majetku / Provisions for Impairment of Long-term Assets","094","09","0","","Asset","CZK"
"Opravná položka k poskytnutým zálohám na dlouhodobý majetek / Prov Long-term Advances","Opravné položky k dlouhodobému majetku / Provisions for Impairment of Long-term Assets","095","09","0","","Asset","CZK"
"Opravná položka k dlouhodobému finančnímu majetku / Provision for Long-term Financial Assets","Opravné položky k dlouhodobému majetku / Provisions for Impairment of Long-term Assets","096","09","0","","Asset","CZK"
"Oceňovací rozdíl k nabytému majetku / Valuation Difference on Acquired Assets","Opravné položky k dlouhodobému majetku / Provisions for Impairment of Long-term Assets","097","09","0","","Asset","CZK"
"Oprávky k oceňovacímu rozdílu k nabytému majetku / Acc Dep Val Diff Acq Assets","Opravné položky k dlouhodobému majetku / Provisions for Impairment of Long-term Assets","098","09","0","","Asset","CZK"
"Zásoby / Inventories","Assets - Aktiva","1","","1","","Asset","CZK"
"Materiál / Materials","Zásoby / Inventories","11","1","1","","Asset","CZK"
"Pořízení materiálu / Material Acquisitions","Materiál / Materials","111","11","0","","Asset","CZK"
"Materiál na skladě / Material in Stock","Materiál / Materials","112","11","0","Stock","Asset","CZK"
"Materiál na cestě / Material in Transit","Materiál / Materials","119","11","0","","Asset","CZK"
"Zásoby vlastní činnosti / Inventories of Own Activities","Zásoby / Inventories","12","1","1","","Asset","CZK"
"Nedokončená výroba / Work in Progress","Zásoby vlastní činnosti / Inventories of Own Activities","121","12","0","","Asset","CZK"
"Polotovary vlastní výroby / Semi-finished Goods (Own Production}","Zásoby vlastní činnosti / Inventories of Own Activities","122","12","0","","Asset","CZK"
"Výrobky / Inventory - Finished Goods","Zásoby vlastní činnosti / Inventories of Own Activities","123","12","0","","Asset","CZK"
"Mladá a ostatní zvířata a jejich skupiny / Young and Other Animals and Their Groups","Zásoby vlastní činnosti / Inventories of Own Activities","124","12","0","","Asset","CZK"
"Zboží / Inventory","Zásoby / Inventories","13","1","1","","Asset","CZK"
"Pořízení zboží / Inventory - Purchased Goods","Zboží / Inventory","131","13","0","","Asset","CZK"
"Zboží na skladě a v prodejnách / Inventory in Warehouses and Retail Outlets","Zboží / Inventory","132","13","0","Stock","Asset","CZK"
"Zboží na cestě / Inventory - Goods in Transit","Zboží / Inventory","139","13","0","","Asset","CZK"
"Poskytnuté zálohy na zásoby / Advances to Suppliers for Supplies","Zásoby / Inventories","15","1","1","","Asset","CZK"
"Poskytnuté zálohy na materiál / Advances to Suppliers for Materials","Poskytnuté zálohy na zásoby / Advances to Suppliers for Supplies","151","15","0","","Asset","CZK"
"Poskytnuté zálohy na zboží / Advances to Suppliers for Inventory","Poskytnuté zálohy na zásoby / Advances to Suppliers for Supplies","152","15","0","","Asset","CZK"
"Poskytnuté zálohy na zvířata / Advances to Suppliers for Animals","Poskytnuté zálohy na zásoby / Advances to Suppliers for Supplies","153","15","0","","Asset","CZK"
"Opravné položky k zásobám / Provisions for Impairment of Supplies","Zásoby / Inventories","19","1","1","","Asset","CZK"
"Opravná položka k materiálu / Allowance for Material","Opravné položky k zásobám / Provisions for Impairment of Supplies","191","19","0","","Asset","CZK"
"Opravná položka k nedokončené výrobě / Allowance for Work in Progress","Opravné položky k zásobám / Provisions for Impairment of Supplies","192","19","0","","Asset","CZK"
"Opravná položka k polotovarům vlastní výroby / Allowance for Semi-finished Goods Produced In-house","Opravné položky k zásobám / Provisions for Impairment of Supplies","193","19","0","","Asset","CZK"
"Opravná položka k výrobkům / Allowance for Finished Goods","Opravné položky k zásobám / Provisions for Impairment of Supplies","194","19","0","","Asset","CZK"
"Opravná položka k mladým a ostatním zvířatům a jejich skupinám / Allowance Livestock","Opravné položky k zásobám / Provisions for Impairment of Supplies","195","19","0","","Asset","CZK"
"Opravná položka ke zboží / Allowance for Merchandise","Opravné položky k zásobám / Provisions for Impairment of Supplies","196","19","0","","Asset","CZK"
"Opravná položka k zálohám na zásoby / Allowance for Prepayments on Inventories","Opravné položky k zásobám / Provisions for Impairment of Supplies","197","19","0","","Asset","CZK"
"Peněžní prostředky v pokladně / Cash on Hand","Assets - Aktiva","21","","1","","Asset","CZK"
"Pokladna / Cash on Hand","Peněžní prostředky v pokladně / Cash on Hand","211","21","0","Cash","Asset","CZK"
"Ceniny / Cash Equivalents (Vouchers/Stamps}","Peněžní prostředky v pokladně / Cash on Hand","213","21","0","Cash","Asset","CZK"
"Peněžní prostředky na účtech / Bank Accounts","Assets - Aktiva","22","","1","","Asset","CZK"
"Peněžní prostředky na účtech / Bank Accounts","Peněžní prostředky na účtech / Bank Accounts","221","22","0","Bank","Asset","CZK"
"Krátkodobé úvěry / Short-term Loans","Liabilities - Závazky","23","","1","","Liability","CZK"
"Krátkodobé úvěry / Short-term Loans","Krátkodobé úvěry / Short-term Loans","231","23","0","","Liability","CZK"
"Eskontní úvěry / Discounted Loans","Krátkodobé úvěry / Short-term Loans","232","23","0","","Liability","CZK"
"Krátkodobé finanční výpomoci / Short-term Financial Assistance","Liabilities - Závazky","24","","1","","Liability","CZK"
"Emitované krátkodobé dluhopisy / Issued Short-term Bonds","Krátkodobé finanční výpomoci / Short-term Financial Assistance","241","24","0","","Liability","CZK"
"Ostatní krátkodobé finanční výpomoci / Other Short-term Financial Assistance","Krátkodobé finanční výpomoci / Short-term Financial Assistance","249","24","0","","Liability","CZK"
"Krátkodobý finanční majetek / Short-term Financial Assets","Assets - Aktiva","25","","1","","Asset","CZK"
"Majetkové cenné papíry k obchodování / Trading Financial Assets","Krátkodobý finanční majetek / Short-term Financial Assets","251","25","0","","Asset","CZK"
"Vlastní podíly / Own Shares","Krátkodobý finanční majetek / Short-term Financial Assets","252","25","0","","Asset","CZK"
"Registrované dluhové cenné papíry k obchodování / Trading Debt Securities","Krátkodobý finanční majetek / Short-term Financial Assets","253","25","0","","Asset","CZK"
"Směnky k inkasu / Bills Receivable","Krátkodobý finanční majetek / Short-term Financial Assets","254","25","0","","Asset","CZK"
"Vlastní dluhopisy / Own Debt Securities","Liabilities - Závazky","255","","0","","Liability","CZK"
"Dluhové cenné papíry se splatností do 1 roku držené do splatnosti / DebtSec1Yr","Krátkodobý finanční majetek / Short-term Financial Assets","256","25","0","","Asset","CZK"
"Ostatní cenné papíry k obchodování / Other Trading Securities","Krátkodobý finanční majetek / Short-term Financial Assets","257","25","0","","Asset","CZK"
"Podíly – ovládaná nebo ovládající osoba / Equity Investments – Controlled or Controlling Party","Krátkodobý finanční majetek / Short-term Financial Assets","258","25","0","","Asset","CZK"
"Pořizování krátkodobého finančního majetku / Acquisition of Short-term Financial Assets","Krátkodobý finanční majetek / Short-term Financial Assets","259","25","0","","Asset","CZK"
"Převody mezi finančními účty / Transfers Between Financial Accounts","Assets - Aktiva","26","","1","","Asset","CZK"
"Peníze na cestě / Cash in Transit","Převody mezi finančními účty / Transfers Between Financial Accounts","261","26","0","","Asset","CZK"
"Opravné položky ke krátkodobému finančnímu majetku / Provisions for Short-term Financial Assets","Assets - Aktiva","29","","1","","Asset","CZK"
"Opravná položka ke krátkodobému finančnímu majetku / Provision for Short-term Financial Assets","Opravné položky ke krátkodobému finančnímu majetku / Provisions for Short-term Financial Assets","291","29","0","","Asset","CZK"
"Pohledávky (krátkodobé i dlouhodobé) / Receivables (short-term and long-term)","Assets - Aktiva","31","","1","","Asset","CZK"
"Odběratelé / Accounts Receivable - Customers","Pohledávky (krátkodobé i dlouhodobé) / Receivables (short-term and long-term)","311","31","0","Receivable","Asset","CZK"
"Pohledávky za eskontované cenné papíry / Claims from Discounted Securities","Pohledávky (krátkodobé i dlouhodobé) / Receivables (short-term and long-term)","313","31","0","Receivable","Asset","CZK"
"Poskytnuté provozní zálohy / Advances to suppliers","Pohledávky (krátkodobé i dlouhodobé) / Receivables (short-term and long-term)","314","31","0","Receivable","Asset","CZK"
"Ostatní pohledávky / Other receivables","Pohledávky (krátkodobé i dlouhodobé) / Receivables (short-term and long-term)","315","31","0","Receivable","Asset","CZK"
"Závazky (krátkodobé) / Liabilities (short-term)","Liabilities - Závazky","32","","1","","Liability","CZK"
"Dodavatelé / Suppliers","Závazky (krátkodobé) / Liabilities (short-term)","321","32","0","Payable","Liability","CZK"
"Směnky k úhradě / Bills Payable","Závazky (krátkodobé) / Liabilities (short-term)","322","32","0","Payable","Liability","CZK"
"Přijaté provozní zálohy / Advances from customers","Závazky (krátkodobé) / Liabilities (short-term)","324","32","0","Payable","Liability","CZK"
"Ostatní závazky / Other liabilities","Závazky (krátkodobé) / Liabilities (short-term)","325","32","0","Payable","Liability","CZK"
"Zúčtování se zaměstnanci a institucemi / Settlement with employees and institutions","Liabilities - Závazky","33","","1","","Liability","CZK"
"Zaměstnanci / Employees","Zúčtování se zaměstnanci a institucemi / Settlement with employees and institutions","331","33","0","","Liability","CZK"
"Ostatní závazky vůči zaměstnancům / Other liabilities to employees","Zúčtování se zaměstnanci a institucemi / Settlement with employees and institutions","333","33","0","","Liability","CZK"
"Pohledávky za zaměstnanci / Receivables from Employees","Assets - Aktiva","335","","0","","Asset","CZK"
"Zúčtování s institucemi sociálního zabezpečení a zdravotního pojištění / SS & HI Settlement","Zúčtování se zaměstnanci a institucemi / Settlement with employees and institutions","336","33","0","","Liability","CZK"
"Zúčtování daní a dotací / Settlement of Taxes and Subsidies","Liabilities - Závazky","34","","1","","Liability","CZK"
"Daň z příjmů / Income Tax","Zúčtování daní a dotací / Settlement of Taxes and Subsidies","341","34","0","Tax","Liability","CZK"
"Ostatní přímé daně / Other Direct Taxes","Zúčtování daní a dotací / Settlement of Taxes and Subsidies","342","34","0","Tax","Liability","CZK"
"Daň z přidané hodnoty / Value Added Tax","Zúčtování daní a dotací / Settlement of Taxes and Subsidies","343","34","0","Tax","Liability","CZK"
"Ostatní daně a poplatky / Other Taxes and Fees","Zúčtování daní a dotací / Settlement of Taxes and Subsidies","345","34","0","Tax","Liability","CZK"
"Dotace ze státního rozpočtu / Grants from the State Budget","Assets - Aktiva","346","","0","","Asset","CZK"
"Ostatní dotace / Other Grants","Assets - Aktiva","347","","0","","Asset","CZK"
"Pohledávky za společníky / Receivables from Shareholders","Assets - Aktiva","35","","1","","Asset","CZK"
"Pohledávky – ovládaná nebo ovládající osoba / Receivables from Controlled or Controlling Entities","Pohledávky za společníky / Receivables from Shareholders","351","35","0","","Asset","CZK"
"Pohledávky – podstatný vliv / Receivables – Significant Influence","Pohledávky za společníky / Receivables from Shareholders","352","35","0","","Asset","CZK"
"Pohledávky za upsaný základní kapitál / Receivables for Subscribed Share Capital","Pohledávky za společníky / Receivables from Shareholders","353","35","0","","Asset","CZK"
"Pohledávky za společníky při úhradě ztráty / Receivables from Partners for Loss Settlement","Pohledávky za společníky / Receivables from Shareholders","354","35","0","","Asset","CZK"
"Ostatní pohledávky za společníky obchodní korporace / OtherReceivables-PartCorp","Pohledávky za společníky / Receivables from Shareholders","355","35","0","","Asset","CZK"
"Pohledávky za společníky sdruženými ve společnosti / Receivables-PartAssoc","Pohledávky za společníky / Receivables from Shareholders","358","35","0","","Asset","CZK"
"Závazky ke společníkům / Liabilities to Partners","Liabilities - Závazky","36","","1","","Liability","CZK"
"Závazky – ovládaná nebo ovládající osoba / Liabilities – Controlled or Controlling Person","Závazky ke společníkům / Liabilities to Partners","361","36","0","","Liability","CZK"
"Závazky – podstatný vliv / Liabilities – Significant Influence","Závazky ke společníkům / Liabilities to Partners","362","36","0","","Liability","CZK"
"Závazky ke společníkům při rozdělování zisku / Liabilities to Partners for Profit Distribution","Závazky ke společníkům / Liabilities to Partners","364","36","0","","Liability","CZK"
"Ostatní závazky ke společníkům obchodní korporace / Other Liab. to Shareholders","Závazky ke společníkům / Liabilities to Partners","365","36","0","","Liability","CZK"
"Závazky ke společníkům obchodní korporace ze závislé činnosti / Liab. to Shareholders from Dep. Act.","Závazky ke společníkům / Liabilities to Partners","366","36","0","","Liability","CZK"
"Závazky z upsaných nesplacených cenných papírů a vkladů / Liab. from Issued Unpaid Sec. & Dep.","Závazky ke společníkům / Liabilities to Partners","367","36","0","","Liability","CZK"
"Závazky ke společníkům sdruženým ve společnosti / Liabilities to Associated Partners in the Company","Závazky ke společníkům / Liabilities to Partners","368","36","0","","Liability","CZK"
"Jiné pohledávky a závazky / Other Receivables and Liabilities","Assets - Aktiva","37","","1","","Asset","CZK"
"Pohledávky z prodeje podniku / Receivables from Business Sale","Jiné pohledávky a závazky / Other Receivables and Liabilities","371","37","0","","Asset","CZK"
"Závazky z koupě podniku / Liabilities from Business Purchase","Liabilities - Závazky","372","","0","","Liability","CZK"
"Pohledávky a závazky z pevných termínových operací / Fixed Term Ops Rec & Liab","Jiné pohledávky a závazky / Other Receivables and Liabilities","373","37","0","","Asset","CZK"
"Pohledávky z nájmu a pachtu / Receivables from Leases and Rents","Jiné pohledávky a závazky / Other Receivables and Liabilities","374","37","0","","Asset","CZK"
"Pohledávky z vydaných dluhopisů / Claims from Issued Bonds","Jiné pohledávky a závazky / Other Receivables and Liabilities","375","37","0","","Asset","CZK"
"Nakoupené opce / Purchased Options","Jiné pohledávky a závazky / Other Receivables and Liabilities","376","37","0","","Asset","CZK"
"Prodané opce / Sold Options","Liabilities - Závazky","377","","0","","Liability","CZK"
"Jiné pohledávky / Other Receivables","Jiné pohledávky a závazky / Other Receivables and Liabilities","378","37","0","","Asset","CZK"
"Jiné závazky / Other Liabilities","Liabilities - Závazky","379","","0","","Liability","CZK"
"Přechodné účty aktiv a pasiv / Transitional Accounts for Assets and Liabilities","Assets - Aktiva","38","","1","","Asset","CZK"
"Náklady příštích období / Prepaid Expenses","Přechodné účty aktiv a pasiv / Transitional Accounts for Assets and Liabilities","381","38","0","","Asset","CZK"
"Komplexní náklady příštích období / Deferred Charges","Přechodné účty aktiv a pasiv / Transitional Accounts for Assets and Liabilities","382","38","0","","Asset","CZK"
"Výdaje příštích období / Expenditures for Future Periods","Liabilities - Závazky","383","","0","","Liability","CZK"
"Výnosy příštích období / Revenues for Future Periods","Liabilities - Závazky","384","","0","","Liability","CZK"
"Příjmy příštích období / Unearned Revenue","Přechodné účty aktiv a pasiv / Transitional Accounts for Assets and Liabilities","385","38","0","","Asset","CZK"
"Dohadné účty aktivní / Contingent Accounts (Active}","Přechodné účty aktiv a pasiv / Transitional Accounts for Assets and Liabilities","388","38","0","","Asset","CZK"
"Dohadné účty pasivní / Provisional Accounts (Passive Side of the Balance Sheet}","Liabilities - Závazky","389","","0","Stock Received But Not Billed","Liability","CZK"
"Opravná položka k zúčtovacím vztahům a vnitřní zúčtování / Allowance for Settlements","Assets - Aktiva","39","","1","","Asset","CZK"
"Opravná položka k pohledávkám / Allowance for Receivables","Opravná položka k zúčtovacím vztahům a vnitřní zúčtování / Allowance for Settlements","391","39","0","","Asset","CZK"
"Vnitřní zúčtování / Internal Settlements","Opravná položka k zúčtovacím vztahům a vnitřní zúčtování / Allowance for Settlements","395","39","0","","Asset","CZK"
"Spojovací účet při společnosti / Intercompany Connecting Account","Opravná položka k zúčtovacím vztahům a vnitřní zúčtování / Allowance for Settlements","398","39","0","","Asset","CZK"
"Základní kapitál a kapitálové fondy / Share Capital and Capital Reserves","Equity - Vlastní kapitál","41","","1","","Equity","CZK"
"Základní kapitál / Share Capital","Základní kapitál a kapitálové fondy / Share Capital and Capital Reserves","411","41","0","Equity","Equity","CZK"
"Ážio / Premium","Základní kapitál a kapitálové fondy / Share Capital and Capital Reserves","412","41","0","Equity","Equity","CZK"
"Ostatní kapitálové fondy / Other Capital Funds","Základní kapitál a kapitálové fondy / Share Capital and Capital Reserves","413","41","0","Equity","Equity","CZK"
"Oceňovací rozdíly z přecenění majetku a závazků / Revaluation Differences on Assets and Liabilities","Základní kapitál a kapitálové fondy / Share Capital and Capital Reserves","414","41","0","","Equity","CZK"
"Rozdíly z ocenění při přeměnách obchodních korporací / BusTransDiff","Základní kapitál a kapitálové fondy / Share Capital and Capital Reserves","416","41","0","","Equity","CZK"
"Rozdíly z přeměn obchodních korporací / Differences from Business Transformations","Základní kapitál a kapitálové fondy / Share Capital and Capital Reserves","417","41","0","","Equity","CZK"
"Oceňovací rozdíly z přecenění při přeměnách obchodních korporací / RevalBusTrans","Základní kapitál a kapitálové fondy / Share Capital and Capital Reserves","418","41","0","","Equity","CZK"
"Změny základního kapitálu / Changes in Share Capital","Základní kapitál a kapitálové fondy / Share Capital and Capital Reserves","419","41","0","","Equity","CZK"
"Fondy ze zisku a převedené výsledky hospodaření / Profit Funds and Transferred Operating Results","Equity - Vlastní kapitál","42","","1","","Equity","CZK"
"Ostatní rezervní fondy / Other Reserve Funds","Fondy ze zisku a převedené výsledky hospodaření / Profit Funds and Transferred Operating Results","421","42","0","","Equity","CZK"
"Nedělitelný fond / Indivisible Fund","Fondy ze zisku a převedené výsledky hospodaření / Profit Funds and Transferred Operating Results","422","42","0","","Equity","CZK"
"Statutární fondy / Statutory Funds","Fondy ze zisku a převedené výsledky hospodaření / Profit Funds and Transferred Operating Results","423","42","0","","Equity","CZK"
"Jiný výsledek hospodaření minulých let / Other Results of Previous Years' Operations","Fondy ze zisku a převedené výsledky hospodaření / Profit Funds and Transferred Operating Results","426","42","0","","Equity","CZK"
"Ostatní fondy / Other Funds","Fondy ze zisku a převedené výsledky hospodaření / Profit Funds and Transferred Operating Results","427","42","0","","Equity","CZK"
"Nerozdělený zisk minulých let / Undistributed Profit of Previous Years","Fondy ze zisku a převedené výsledky hospodaření / Profit Funds and Transferred Operating Results","428","42","0","","Equity","CZK"
"Neuhrazená ztráta minulých let / Uncompensated Loss of Previous Years","Fondy ze zisku a převedené výsledky hospodaření / Profit Funds and Transferred Operating Results","429","42","0","","Equity","CZK"
"Výsledek hospodaření / Operating Result","Equity - Vlastní kapitál","43","","1","","Equity","CZK"
"Výsledek hospodaření ve schvalovacím řízení / Operating Result in the Approval Process","Výsledek hospodaření / Operating Result","431","43","0","","Equity","CZK"
"Rozhodnuto o zálohové výplatě podílu na zisku / Decided on Advance Payment of Share of Profit","Výsledek hospodaření / Operating Result","432","43","0","","Equity","CZK"
"Rezervy / Provisions","Liabilities - Závazky","45","","1","","Liability","CZK"
"Rezervy podle zvláštních právních předpisů / Provisions According to Special Legal Regulations","Rezervy / Provisions","451","45","0","","Liability","CZK"
"Rezerva na daň z příjmů / Provision for Income Tax","Rezervy / Provisions","453","45","0","","Liability","CZK"
"Ostatní rezervy / Other Provisions","Rezervy / Provisions","459","45","0","","Liability","CZK"
"Dlouhodobé závazky k úvěrovým institucím / Long-term Liabilities to Credit Institutions","Liabilities - Závazky","46","","1","","Liability","CZK"
