"/BIC/ZC_VYKAZ Výkaz";"/BIC/ZC_VTAB Tabulka výkazu";"/BIC/ZC_POLVYK Položka výkazu";"/BIC/ZC_SYNUC Syntetický účet";"/BIC/ZC_CISPOL Číslo položky";"DATEFROM Platí od";"DATETO Platí do";"TXTXL Dlouhý text"
"001";"000100";"A.II.";"-";"013";"20120101";"20131231";"Dlouhodobý hmotný majetek"
"001";"000100";"A.II.";"-";"013";"10000101";"20111231";"Dlouhodobý hmotný majetek"
"001";"000100";"A.II.";"-";"014";"20140101";"99991231";"Dlouhodobý hmotný majetek"
"001";"000100";"A.II.1.";"031";"014";"20120101";"20131231";"Pozemky"
"001";"000100";"A.II.1.";"031";"014";"10000101";"20111231";"Pozemky"
"001";"000100";"A.II.1.";"031";"015";"20140101";"99991231";"Pozemky"
"001";"000100";"A.II.10.";"052";"023";"20120101";"20131231";"Poskytnuté zálohy na dlouhodobý hmotný majetek"
"001";"000100";"A.II.10.";"052";"023";"10000101";"20111231";"Poskytnuté zálohy na dlouhodobý hmotný majetek"
"001";"000100";"A.II.10.";"052";"024";"20140101";"20151231";"Poskytnuté zálohy na dlouhodobý hmotný majetek"
"001";"000100";"A.II.10.";"036";"024";"20160101";"99991231";"Dlouhodobý hmotný majetek určený k prodeji"
"001";"000100";"A.II.11.";"036";"025";"20140101";"20151231";"Dlouhodobý hmotný majetek určený k prodeji"
"001";"000100";"A.II.2.";"032";"016";"20140101";"99991231";"Kulturní předměty"
"001";"000100";"A.II.2.";"032";"015";"10000101";"20111231";"Kulturní předměty"
"001";"000100";"A.II.2.";"032";"015";"20120101";"20131231";"Kulturní předměty"
"001";"000100";"A.II.3.";"021";"017";"20140101";"99991231";"Stavby"
"001";"000100";"A.II.3.";"021";"016";"10000101";"20111231";"Stavby"
"001";"000100";"A.II.3.";"021";"016";"20120101";"20131231";"Stavby"
"001";"000100";"A.II.4.";"022";"017";"20120101";"20131231";"Samostatné movité věci a soubory movitých věcí"
"001";"000100";"A.II.4.";"022";"017";"10000101";"20111231";"Samostatné movité věci a soubory movitých věcí"
"001";"000100";"A.II.4.";"022";"018";"20140101";"99991231";"Samostatné hmotné movité věci a soubory hmotných movitých věcí"
"001";"000100";"A.II.5.";"025";"018";"20120101";"20131231";"Pěstitelské celky trvalých porostů"
"001";"000100";"A.II.5.";"025";"018";"10000101";"20111231";"Pěstitelské celky trvalých porostů"
"001";"000100";"A.II.5.";"025";"019";"20140101";"99991231";"Pěstitelské celky trvalých porostů"
"001";"000100";"A.II.6.";"028";"019";"20120101";"20131231";"Drobný dlouhodobý hmotný majetek"
"001";"000100";"A.II.6.";"028";"019";"10000101";"20111231";"Drobný dlouhodobý hmotný majetek"
"001";"000100";"A.II.6.";"028";"020";"20140101";"99991231";"Drobný dlouhodobý hmotný majetek"
"001";"000100";"A.II.7.";"029";"020";"20120101";"20131231";"Ostatní dlouhodobý hmotný majetek"
"001";"000100";"A.II.7.";"029";"020";"10000101";"20111231";"Ostatní dlouhodobý hmotný majetek"
"001";"000100";"A.II.7.";"029";"021";"20140101";"99991231";"Ostatní dlouhodobý hmotný majetek"
"001";"000100";"A.II.8.";"042";"021";"20120101";"20131231";"Nedokončený dlouhodobý hmotný majetek"
"001";"000100";"A.II.8.";"042";"021";"10000101";"20111231";"Nedokončený dlouhodobý hmotný majetek"
"001";"000100";"A.II.8.";"042";"022";"20140101";"99991231";"Nedokončený dlouhodobý hmotný majetek"
"001";"000100";"A.II.9.";"045";"022";"10000101";"20111231";"Uspořádací účet technického zhodnocení dlouhodobého hmotného majetku"
"001";"000100";"A.II.9.";"045";"022";"20120101";"20131231";"Uspořádací účet technického zhodnocení dlouhodobého hmotného majetku"
"001";"000100";"A.II.9.";"052";"023";"20160101";"99991231";"Poskytnuté zálohy na dlouhodobý hmotný majetek"
"001";"000100";"A.II.9.";"045";"023";"20140101";"20151231";"Uspořádací účet technického zhodnocení dlouhodobého hmotného majetku"
"001";"000100";"A.III.";"-";"026";"20140101";"99991231";"Dlouhodobý finanční majetek"
"001";"000100";"A.III.";"-";"024";"20120101";"20131231";"Dlouhodobý finanční majetek"
"001";"000100";"A.III.";"-";"024";"10000101";"20111231";"Dlouhodobý finanční majetek"
"001";"000100";"A.III.1.";"061";"025";"10000101";"20111231";"Majetkové účasti v osobách s rozhodujícím vlivem"
"001";"000100";"A.III.1.";"061";"027";"20140101";"99991231";"Majetkové účasti v osobách s rozhodujícím vlivem"
"001";"000100";"A.III.1.";"061";"025";"20120101";"20131231";"Majetkové účasti v osobách s rozhodujícím vlivem"
"001";"000100";"A.III.2.";"062";"028";"20140101";"99991231";"Majetkové účasti v osobách s podstatným vlivem"
"001";"000100";"A.III.2.";"062";"026";"20120101";"20131231";"Majetkové účasti v osobách s podstatným vlivem"
"001";"000100";"A.III.2.";"062";"026";"10000101";"20111231";"Majetkové účasti v osobách s podstatným vlivem"
"001";"000100";"A.III.3.";"063";"029";"20140101";"99991231";"Dluhové cenné papíry držené do splatnosti"
"001";"000100";"A.III.3.";"063";"027";"20120101";"20131231";"Dluhové cenné papíry držené do splatnosti"
"001";"000100";"A.III.3.";"063";"027";"10000101";"20111231";"Dluhové cenné papíry držené do splatnosti"
"001";"000100";"A.III.4.";"066";"028";"10000101";"20111231";"Půjčky osobám ve skupině"
"001";"000100";"A.III.4.";"067";"028";"20120101";"20131231";"Dlouhodobé půjčky"
"001";"000100";"A.III.4.";"067";"030";"20140101";"99991231";"Dlouhodobé půjčky"
"001";"000100";"A.III.5.";"068";"031";"20140101";"99991231";"Termínované vklady dlouhodobé"
"001";"000100";"A.III.5.";"067";"029";"10000101";"20111231";"Jiné dlouhodobé půjčky"
"001";"000100";"A.III.5.";"068";"029";"20120101";"20131231";"Termínované vklady dlouhodobé"
"001";"000100";"A.III.6.";"069";"032";"20140101";"99991231";"Ostatní dlouhodobý finanční majetek"
"001";"000100";"A.III.6.";"069";"030";"20120101";"20131231";"Ostatní dlouhodobý finanční majetek"
"001";"000100";"A.III.6.";"068";"030";"10000101";"20111231";"Termínované vklady dlouhodobé"
"001";"000100";"A.III.7.";"069";"031";"10000101";"20111231";"Ostatní dlouhodobý finanční majetek"
"001";"000100";"A.III.7.";"043";"031";"20120101";"20131231";"Pořizovaný dlouhodobý finanční majetek"
"001";"000100";"A.III.7.";"043";"033";"20140101";"99991231";"Pořizovaný dlouhodobý finanční majetek"
"001";"000100";"A.III.8.";"043";"032";"10000101";"20111231";"Pořizovaný dlouhodobý finanční majetek"
"001";"000100";"A.III.8.";"053";"032";"20120101";"20131231";"Poskytnuté zálohy na dlouhodobý finanční majetek"
"001";"000100";"A.III.8.";"053";"034";"20140101";"99991231";"Poskytnuté zálohy na dlouhodobý finanční majetek"
"001";"000100";"A.III.9.";"053";"033";"10000101";"20111231";"Poskytnuté zálohy na dlouhodobý finanční majetek"
"001";"000100";"A.IV.";"-";"035";"20140101";"99991231";"Dlouhodobé pohledávky"
"001";"000100";"A.IV.";"-";"033";"20120101";"20131231";"Dlouhodobé pohledávky"
"001";"000100";"A.IV.";"-";"034";"10000101";"20111231";"Dlouhodobé pohledávky"
"001";"000100";"A.IV.1.";"462";"036";"20140101";"99991231";"Poskytnuté návratné finanční výpomoci dlouhodobé"
"001";"000100";"A.IV.1.";"462";"034";"20120101";"20131231";"Poskytnuté návratné finanční výpomoci dlouhodobé"
"001";"000100";"A.IV.1.";"462";"035";"10000101";"20111231";"Poskytnuté návratné finanční výpomoci dlouhodobé"
"001";"000100";"A.IV.2.";"464";"035";"20120101";"20131231";"Dlouhodobé pohledávky z postoupených úvěrů"
"001";"000100";"A.IV.2.";"464";"036";"10000101";"20111231";"Dlouhodobé pohledávky z postoupených úvěrů"
"001";"000100";"A.IV.2.";"464";"037";"20140101";"99991231";"Dlouhodobé pohledávky z postoupených úvěrů"
"001";"000100";"A.IV.3.";"465";"037";"10000101";"20111231";"Dlouhodobé poskytnuté zálohy"
"001";"000100";"A.IV.3.";"465";"036";"20120101";"20131231";"Dlouhodobé poskytnuté zálohy"
"001";"000100";"A.IV.3.";"465";"038";"20140101";"99991231";"Dlouhodobé poskytnuté zálohy"
"001";"000100";"A.IV.4.";"466";"038";"10000101";"20111231";"Dlouhodobé pohledávky z ručení"
"001";"000100";"A.IV.4.";"466";"037";"20120101";"20131231";"Dlouhodobé pohledávky z ručení"
"001";"000100";"A.IV.4.";"466";"039";"20140101";"99991231";"Dlouhodobé pohledávky z ručení"
"001";"000100";"A.IV.5.";"468";"039";"10000101";"20111231";"Dlouhodobé pohledávky z nástrojů spolufinancovaných ze zahraničí"
"001";"000100";"A.IV.5.";"468";"038";"20120101";"20131231";"Dlouhodobé pohledávky z nástrojů spolufinancovaných ze zahraničí"
"001";"000100";"A.IV.5.";"468";"040";"20140101";"20141231";"Dlouhodobé pohledávky z nástrojů spolufinancovaných ze zahraničí"
"001";"000100";"A.IV.5.";"469";"040";"20150101";"99991231";"Ostatní dlouhodobé pohledávky"
"001";"000100";"A.IV.6.";"469";"040";"10000101";"20111231";"Ostatní dlouhodobé pohledávky"
"001";"000100";"A.IV.6.";"469";"039";"20120101";"20131231";"Ostatní dlouhodobé pohledávky"
"001";"000100";"A.IV.6.";"469";"041";"20140101";"20141231";"Ostatní dlouhodobé pohledávky"
"001";"000100";"A.IV.6.";"471";"041";"20150101";"99991231";"Dlouhodobé poskytnuté zálohy na transfery"
"001";"000100";"A.IV.7.";"475";"042";"20150101";"20151231";"Zprostředkování dlouhodobých transferů"
"001";"000100";"A.IV.7.";"475";"042";"20160101";"99991231";"Dlouhodobé zprostředkování transferů"
"001";"000100";"A.IV.7.";"471";"040";"20120101";"20131231";"Dlouhodobé poskytnuté zálohy na transfery"
"001";"000100";"A.IV.7.";"471";"042";"20140101";"20141231";"Dlouhodobé poskytnuté zálohy na transfery"
"001";"000100";"AKTIVA";"-";"001";"10000101";"20111231";"Aktiva celkem"
"001";"000100";"AKTIVA";"-";"001";"20120101";"20131231";"Aktiva celkem"
"001";"000100";"AKTIVA";"-";"001";"20140101";"99991231";"Aktiva celkem"
"001";"000100";"B.";"-";"043";"20140101";"99991231";"Oběžná aktiva"
"001";"000100";"B.";"-";"041";"10000101";"20111231";"Oběžná aktiva"
"001";"000100";"B.";"-";"041";"20120101";"20131231";"Oběžná aktiva"
"001";"000100";"B.I.";"-";"042";"10000101";"20111231";"Zásoby"
"001";"000100";"B.I.";"-";"042";"20120101";"20131231";"Zásoby"
"001";"000100";"B.I.";"-";"044";"20140101";"99991231";"Zásoby"
"001";"000100";"B.I.1.";"111";"043";"10000101";"20111231";"Pořízení materiálu"
"001";"000100";"B.I.1.";"111";"043";"20120101";"20131231";"Pořízení materiálu"
"001";"000100";"B.I.1.";"111";"045";"20140101";"99991231";"Pořízení materiálu"
"001";"000100";"B.I.10.";"139";"052";"10000101";"20111231";"Ostatní zásoby"
"001";"000100";"B.I.10.";"139";"052";"20120101";"20131231";"Ostatní zásoby"
"001";"000100";"B.I.10.";"139";"054";"20140101";"99991231";"Ostatní zásoby"
"001";"000100";"B.I.2.";"112";"046";"20140101";"99991231";"Materiál na skladě"
"001";"000100";"B.I.2.";"112";"044";"20120101";"20131231";"Materiál na skladě"
"001";"000100";"B.I.2.";"112";"044";"10000101";"20111231";"Materiál na skladě"
"001";"000100";"B.I.3.";"119";"047";"20140101";"99991231";"Materiál na cestě"
"001";"000100";"B.I.3.";"119";"045";"20120101";"20131231";"Materiál na cestě"
"001";"000100";"B.I.3.";"119";"045";"10000101";"20111231";"Materiál na cestě"
"001";"000100";"B.I.4.";"121";"048";"20140101";"99991231";"Nedokončená výroba"
"001";"000100";"B.I.4.";"121";"046";"20120101";"20131231";"Nedokončená výroba"
"001";"000100";"B.I.4.";"121";"046";"10000101";"20111231";"Nedokončená výroba"
"001";"000100";"B.I.5.";"122";"049";"20140101";"99991231";"Polotovary vlastní výroby"
"001";"000100";"B.I.5.";"122";"047";"20120101";"20131231";"Polotovary vlastní výroby"
"001";"000100";"B.I.5.";"122";"047";"10000101";"20111231";"Polotovary vlastní výroby"
"001";"000100";"B.I.6.";"123";"048";"20120101";"20131231";"Výrobky"
"001";"000100";"B.I.6.";"123";"048";"10000101";"20111231";"Výrobky"
"001";"000100";"B.I.6.";"123";"050";"20140101";"99991231";"Výrobky"
"001";"000100";"B.I.7.";"131";"049";"20120101";"20131231";"Pořízení zboží"
"001";"000100";"B.I.7.";"131";"049";"10000101";"20111231";"Pořízení zboží"
"001";"000100";"B.I.7.";"131";"051";"20140101";"99991231";"Pořízení zboží"
"001";"000100";"B.I.8.";"132";"052";"20140101";"99991231";"Zboží na skladě"
"001";"000100";"B.I.8.";"132";"050";"20120101";"20131231";"Zboží na skladě"
"001";"000100";"B.I.8.";"132";"050";"10000101";"20111231";"Zboží na skladě"
"001";"000100";"B.I.9.";"138";"053";"20140101";"99991231";"Zboží na cestě"
"001";"000100";"B.I.9.";"138";"051";"20120101";"20131231";"Zboží na cestě"
"001";"000100";"B.I.9.";"138";"051";"10000101";"20111231";"Zboží na cestě"
"001";"000100";"B.II.";"-";"055";"20140101";"99991231";"Krátkodobé pohledávky"
"001";"000100";"B.II.";"-";"053";"20120101";"20131231";"Krátkodobé pohledávky"
"001";"000100";"B.II.";"-";"053";"10000101";"20111231";"Krátkodobé pohledávky"
"001";"000100";"B.II.1.";"311";"056";"20140101";"99991231";"Odběratelé"
"001";"000100";"B.II.1.";"311";"054";"20120101";"20131231";"Odběratelé"
"001";"000100";"B.II.1.";"311";"054";"10000101";"20111231";"Odběratelé"
"001";"000100";"B.II.10.";"336";"065";"20140101";"99991231";"Sociální zabezpečení"
"001";"000100";"B.II.10.";"335";"063";"10000101";"20111231";"Pohledávky za zaměstnanci"
"001";"000100";"B.II.10.";"335";"063";"20120101";"20131231";"Pohledávky za zaměstnanci"
"001";"000100";"B.II.11.";"336";"064";"10000101";"20111231";"Zúčtování s institucemi sociálního zabezpečení a zdravotního pojištění"
"001";"000100";"B.II.11.";"336";"064";"20120101";"20131231";"Zúčtování s institucemi sociálního zabezpečení a zdravotního pojištění"
"001";"000100";"B.II.11.";"337";"066";"20140101";"99991231";"Zdravotní pojištění"
"001";"000100";"B.II.12.";"341";"065";"10000101";"20111231";"Daň z příjmů"
"001";"000100";"B.II.12.";"341";"065";"20120101";"20131231";"Daň z příjmů"
"001";"000100";"B.II.12.";"338";"067";"20140101";"99991231";"Důchodové spoření"
"001";"000100";"B.II.13.";"342";"066";"20120101";"20131231";"Jiné přímé daně"
"001";"000100";"B.II.13.";"342";"066";"10000101";"20111231";"Jiné přímé daně"
"001";"000100";"B.II.13.";"341";"068";"20140101";"99991231";"Daň z příjmů"
"001";"000100";"B.II.14.";"343";"067";"20120101";"20131231";"Daň z přidané hodnoty"
"001";"000100";"B.II.14.";"343";"067";"10000101";"20111231";"Daň z přidané hodnoty"
"001";"000100";"B.II.14.";"342";"069";"20150101";"99991231";"Ostatní daně, poplatky a jiná obdobná peněžitá plnění"
"001";"000100";"B.II.14.";"342";"069";"20140101";"20141231";"Jiné přímé daně"
"001";"000100";"B.II.15.";"343";"070";"20140101";"99991231";"Daň z přidané hodnoty"
"001";"000100";"B.II.15.";"344";"068";"20120101";"20131231";"Jiné daně a poplatky"
"001";"000100";"B.II.15.";"345";"068";"10000101";"20111231";"Jiné daně a poplatky"
"001";"000100";"B.II.16.";"344";"071";"20150101";"99991231";"Pohledávky za osobami mimo vybrané vládní instituce"
"001";"000100";"B.II.16.";"344";"071";"20140101";"20141231";"Jiné daně a poplatky"
"001";"000100";"B.II.16.";"346";"069";"20120101";"20131231";"Pohledávky za vybranými ústředními vládními institucemi"
"001";"000100";"B.II.16.";"346";"069";"20110101";"20111231";"Pohledávky za ústředními rozpočty"
"001";"000100";"B.II.16.";"346";"069";"10000101";"20101231";"Pohledávky za státním rozpočtem"
"001";"000100";"B.II.17.";"346";"072";"20140101";"99991231";"Pohledávky za vybranými ústředními vládními institucemi"
"001";"000100";"B.II.17.";"348";"070";"20120101";"20131231";"Pohledávky za vybranými místními vládními institucemi"
"001";"000100";"B.II.17.";"348";"070";"20110101";"20111231";"Pohledávky za územními rozpočty"
"001";"000100";"B.II.17.";"348";"070";"10000101";"20101231";"Pohledávky za rozpočtem územních samosprávných celků"
"001";"000100";"B.II.18.";"351";"071";"20120101";"20131231";"Pohledávky za účastníky sdružení"
"001";"000100";"B.II.18.";"351";"071";"10000101";"20111231";"Pohledávky za účastníky sdružení"
"001";"000100";"B.II.18.";"348";"073";"20140101";"99991231";"Pohledávky za vybranými místními vládními institucemi"
"001";"000100";"B.II.19.";"352";"074";"20140101";"99991231";"Pohledávky ze správy daní"
"001";"000100";"B.II.19.";"361";"072";"10000101";"20111231";"Krátkodobé pohledávky z ručení"
"001";"000100";"B.II.19.";"361";"072";"20120101";"20131231";"Krátkodobé pohledávky z ručení"
"001";"000100";"B.II.2.";"312";"057";"20140101";"99991231";"Směnky k inkasu"
"001";"000100";"B.II.2.";"312";"055";"10000101";"20111231";"Směnky k inkasu"
"001";"000100";"B.II.2.";"312";"055";"20120101";"20131231";"Směnky k inkasu"
"001";"000100";"B.II.20.";"355";"075";"20140101";"99991231";"Zúčtování z přerozdělování daní"
"001";"000100";"B.II.20.";"363";"073";"10000101";"20111231";"Pevné termínové operace a opce"
"001";"000100";"B.II.20.";"363";"073";"20120101";"20131231";"Pevné termínové operace a opce"
"001";"000100";"B.II.21.";"356";"076";"20140101";"99991231";"Pohledávky z exekuce a ostatního nakládání s cizím majetkem"
"001";"000100";"B.II.21.";"365";"074";"10000101";"20111231";"Pohledávky z finančního zajištění"
"001";"000100";"B.II.21.";"365";"074";"20120101";"20131231";"Pohledávky z finančního zajištění"
"001";"000100";"B.II.22.";"358";"077";"20140101";"99991231";"Ostatní pohledávky ze správy daní"
"001";"000100";"B.II.22.";"367";"075";"10000101";"20111231";"Pohledávky z vydaných dluhopisů"
"001";"000100";"B.II.22.";"367";"075";"20120101";"20131231";"Pohledávky z vydaných dluhopisů"
"001";"000100";"B.II.23.";"361";"078";"20140101";"99991231";"Krátkodobé pohledávky z ručení"
"001";"000100";"B.II.23.";"371";"076";"20120101";"20131231";"Krátkodobé pohledávky z nástrojů spolufinancovaných ze zahraničí"
"001";"000100";"B.II.23.";"371";"076";"10000101";"20111231";"Krátkodobé pohledávky z nástrojů spolufinancovaných ze zahraničí"
"001";"000100";"B.II.24.";"373";"077";"10000101";"20101231";"Poskytnuté zálohy na dotace"
"001";"000100";"B.II.24.";"373";"077";"20110101";"20111231";"Poskytnuté zálohy na transfery"
"001";"000100";"B.II.24.";"363";"079";"20140101";"99991231";"Pevné termínové operace a opce"
"001";"000100";"B.II.24.";"373";"077";"20120101";"20131231";"Krátkodobé poskytnuté zálohy na transfery"
"001";"000100";"B.II.25.";"365";"080";"20140101";"20151231";"Pohledávky z finančního zajištění"
"001";"000100";"B.II.25.";"369";"080";"20160101";"99991231";"Pohledávky z neukončených finančních operací"
"001";"000100";"B.II.25.";"381";"078";"10000101";"20111231";"Náklady příštích období"
"001";"000100";"B.II.25.";"381";"078";"20120101";"20131231";"Náklady příštích období"
"001";"000100";"B.II.26.";"367";"081";"20140101";"20151231";"Pohledávky z vydaných dluhopisů"
"001";"000100";"B.II.26.";"365";"081";"20160101";"99991231";"Pohledávky z finančního zajištění"
"001";"000100";"B.II.26.";"385";"079";"10000101";"20111231";"Příjmy příštích období"
"001";"000100";"B.II.26.";"385";"079";"20120101";"20131231";"Příjmy příštích období"
"001";"000100";"B.II.27.";"388";"080";"10000101";"20111231";"Dohadné účty aktivní"
"001";"000100";"B.II.27.";"373";"083";"20150101";"20151231";"Krátkodobé poskytnuté zálohy na transfery"
"001";"000100";"B.II.27.";"388";"080";"20120101";"20131231";"Dohadné účty aktivní"
"001";"000100";"B.II.27.";"367";"082";"20160101";"99991231";"Pohledávky z vydaných dluhopisů"
"001";"000100";"B.II.27.";"371";"082";"20140101";"20141231";"Krátkodobé pohledávky z nástrojů spolufinancovaných ze zahraničí"
"001";"000100";"B.II.28.";"373";"083";"20140101";"20141231";"Krátkodobé poskytnuté zálohy na transfery"
"001";"000100";"B.II.28.";"375";"083";"20150101";"20151231";"Zprostředkování krátkodobých transferů"
"001";"000100";"B.II.28.";"373";"083";"20160101";"99991231";"Krátkodobé poskytnuté zálohy na transfery"
"001";"000100";"B.II.28.";"377";"081";"10000101";"20111231";"Ostatní krátkodobé pohledávky"
"001";"000100";"B.II.28.";"377";"081";"20120101";"20131231";"Ostatní krátkodobé pohledávky"
"001";"000100";"B.II.29.";"375";"084";"20160101";"99991231";"Krátkodobé zprostředkování transferů"
"001";"000100";"B.II.29.";"381";"084";"20140101";"20151231";"Náklady příštích období"
"001";"000100";"B.II.3.";"313";"056";"20120101";"20131231";"Pohledávky za eskontované cenné papíry"
"001";"000100";"B.II.3.";"313";"056";"10000101";"20111231";"Pohledávky za eskontované cenné papíry"
"001";"000100";"B.II.3.";"313";"058";"20140101";"99991231";"Pohledávky za eskontované cenné papíry"
"001";"000100";"B.II.30.";"385";"085";"20140101";"20151231";"Příjmy příštích období"
"001";"000100";"B.II.30.";"381";"085";"20160101";"99991231";"Náklady příštích období"
"001";"000100";"B.II.31.";"385";"086";"20160101";"99991231";"Příjmy příštích období"
"001";"000100";"B.II.31.";"388";"086";"20140101";"20151231";"Dohadné účty aktivní"
"001";"000100";"B.II.32.";"388";"087";"20160101";"99991231";"Dohadné účty aktivní"
"001";"000100";"B.II.32.";"377";"087";"20140101";"20151231";"Ostatní krátkodobé pohledávky"
"001";"000100";"B.II.33.";"377";"088";"20160101";"99991231";"Ostatní krátkodobé pohledávky"
"001";"000100";"B.II.4.";"314";"057";"10000101";"20111231";"Krátkodobé poskytnuté zálohy"
"001";"000100";"B.II.4.";"314";"057";"20120101";"20131231";"Krátkodobé poskytnuté zálohy"
"001";"000100";"B.II.4.";"314";"059";"20140101";"99991231";"Krátkodobé poskytnuté zálohy"
"001";"000100";"B.II.5.";"315";"060";"20140101";"99991231";"Jiné pohledávky z hlavní činnosti"
"001";"000100";"B.II.5.";"315";"058";"20120101";"20131231";"Jiné pohledávky z hlavní činnosti"
"001";"000100";"B.II.5.";"315";"058";"10000101";"20111231";"Pohledávky z hlavní činnosti"
"001";"000100";"B.II.6.";"316";"061";"20140101";"99991231";"Poskytnuté návratné finanční výpomoci krátkodobé"
"001";"000100";"B.II.6.";"316";"059";"20120101";"20131231";"Poskytnuté návratné finanční výpomoci krátkodobé"
"001";"000100";"B.II.6.";"316";"059";"10000101";"20111231";"Poskytnuté návratné finanční výpomoci krátkodobé"
"001";"000100";"B.II.7.";"317";"062";"20140101";"99991231";"Krátkodobé pohledávky z postoupených úvěrů"
"001";"000100";"B.II.7.";"317";"060";"20120101";"20131231";"Krátkodobé pohledávky z postoupených úvěrů"
"001";"000100";"B.II.7.";"317";"060";"10000101";"20111231";"Krátkodobé pohledávky z postoupených úvěrů"
"001";"000100";"B.II.8.";"318";"061";"10000101";"20111231";"Pohledávky z výběru daní"
"001";"000100";"B.II.8.";"318";"061";"20120101";"20131231";"Pohledávky z titulu daní a obdobných dávek"
"001";"000100";"B.II.8.";"319";"063";"20140101";"99991231";"Pohledávky z přerozdělovaných daní"
"001";"000100";"B.II.9.";"319";"062";"20120101";"20131231";"Pohledávky ze sdílených daní"
"001";"000100";"B.II.9.";"319";"062";"10000101";"20111231";"Pohledávky ze sdílených daní"
"001";"000100";"B.II.9.";"335";"064";"20140101";"99991231";"Pohledávky za zaměstnanci"
"001";"000100";"B.III.";"-";"082";"10000101";"20111231";"Příjmové účty rozpočtového hospodaření"
"001";"000100";"B.III.";"-";"082";"20120101";"20131231";"Krátkodobý finanční majetek"
"001";"000100";"B.III.";"-";"089";"20140101";"99991231";"Krátkodobý finanční majetek"
